Pred_0,Pred_1,Pred_2,Pred_3,True_0,True_1,True_2,True_3
17.314922,795.0778,507.3921,244.90663,18.0,793.0,544.0,246.0
17.00136,794.1814,509.92178,248.49713,16.0,795.0,544.0,245.0
16.287708,793.60913,485.974,249.1868,17.0,789.0,544.0,245.0
16.706272,794.984,512.51416,246.14227,16.0,795.0,544.0,245.0
16.718628,794.3187,510.81433,250.50702,16.0,788.0,544.0,247.0
16.689054,794.9088,517.4006,248.56013,16.0,795.0,544.0,245.0
16.440588,793.9183,504.8281,250.33221,16.0,793.0,544.0,245.0
16.749008,794.9316,510.301,249.90202,16.0,795.0,544.0,245.0
16.853527,794.342,522.56256,242.12277,17.0,788.0,544.0,248.0
16.637274,796.0954,521.9969,246.19234,16.0,794.0,544.0,245.0
16.506765,793.9524,511.3025,247.41626,17.0,796.0,544.0,333.0
16.998001,795.17004,508.609,251.65399,16.0,795.0,544.0,243.0
16.696108,795.3112,524.3992,246.9635,17.0,791.0,544.0,246.0
16.80937,795.1999,497.8985,246.90373,16.0,795.0,544.0,246.0
16.789223,793.8848,514.86676,247.94891,18.0,790.0,544.0,249.0
16.735012,795.205,499.1602,247.62845,16.0,794.0,544.0,245.0
16.62364,794.19196,524.9588,250.09996,17.0,794.0,544.0,246.0
16.647617,796.13806,524.4326,248.15723,16.0,794.0,544.0,246.0
16.452505,794.3896,505.05682,248.97737,17.0,794.0,544.0,245.0
16.359982,795.7869,521.9849,245.71448,16.0,795.0,544.0,247.0
16.797604,795.284,506.2311,250.20299,17.0,796.0,544.0,246.0
16.895924,795.96356,508.14853,246.47375,16.0,795.0,544.0,247.0
16.983627,793.72363,501.17322,246.07013,17.0,795.0,544.0,314.0
16.92118,796.98883,507.70178,248.77266,16.0,795.0,544.0,247.0
16.24354,794.6832,504.78906,246.50534,17.0,789.0,544.0,324.0
16.791317,796.261,518.95074,248.80992,16.0,795.0,544.0,247.0
16.620138,794.66077,525.0695,250.29826,17.0,793.0,544.0,320.0
16.720818,795.5062,521.2454,245.92216,16.0,795.0,544.0,320.0
16.418825,795.11664,506.1102,252.12328,17.0,794.0,544.0,271.0
16.767916,796.1422,512.3496,245.97343,16.0,795.0,544.0,271.0
16.752258,794.9052,512.3284,246.66643,17.0,795.0,544.0,322.0
16.529457,795.7466,502.21738,248.21205,16.0,795.0,544.0,320.0
16.337727,794.2911,511.7993,249.30931,17.0,799.0,544.0,290.0
16.985626,796.219,516.0778,247.3863,16.0,795.0,544.0,322.0
16.392597,793.1803,489.39236,250.9077,18.0,791.0,544.0,308.0
16.53346,795.4306,507.58765,247.85849,16.0,794.0,544.0,321.0
16.89134,793.53174,484.91098,246.22292,17.0,795.0,544.0,324.0
16.989758,796.8162,516.3154,248.41942,16.0,795.0,543.0,324.0
17.062853,793.86633,518.3466,245.08542,17.0,795.0,543.0,323.0
16.746763,796.5784,503.8306,248.35097,16.0,795.0,543.0,326.0
17.22004,794.7289,523.4832,248.8113,16.0,794.0,543.0,323.0
16.222414,795.7544,513.1025,250.33704,16.0,795.0,543.0,327.0
16.416777,793.18146,513.32764,248.76329,17.0,796.0,543.0,323.0
16.511093,795.6173,508.92706,250.38548,16.0,795.0,543.0,323.0
16.718803,793.63336,491.54086,246.73543,16.0,796.0,543.0,327.0
16.387486,794.6156,485.1372,249.4298,16.0,795.0,543.0,327.0
16.972265,793.8287,504.79272,249.9308,17.0,796.0,543.0,325.0
16.885525,795.5282,501.12714,250.14578,16.0,795.0,543.0,327.0
16.445574,794.4968,518.1049,246.70044,17.0,795.0,543.0,327.0
16.714071,796.87134,519.6089,251.47433,16.0,795.0,543.0,327.0
16.413216,794.1934,494.24014,249.72047,17.0,795.0,543.0,329.0
16.77284,796.7078,509.2856,253.99826,16.0,795.0,543.0,326.0
16.807854,794.96747,509.94528,250.78906,16.0,796.0,543.0,330.0
16.490387,795.3076,506.633,246.56224,16.0,795.0,543.0,325.0
17.317768,794.51843,512.8455,250.03142,16.0,796.0,543.0,327.0
16.948395,795.70044,516.45966,244.7787,16.0,795.0,543.0,325.0
16.339142,795.2091,498.12726,250.54617,16.0,793.0,542.0,330.0
16.206459,794.4741,487.19522,253.14006,16.0,794.0,543.0,324.0
17.080864,795.2207,493.13544,254.01443,17.0,795.0,543.0,327.0
16.718515,794.96387,501.47906,242.94705,16.0,796.0,543.0,327.0
16.670778,793.9906,496.9812,248.33632,17.0,795.0,542.0,327.0
16.873625,795.5993,512.8893,248.47801,16.0,795.0,542.0,325.0
16.64629,795.2369,490.55524,250.17047,16.0,796.0,542.0,325.0
16.832083,794.24585,507.04825,248.71614,16.0,795.0,543.0,324.0
16.90335,795.6602,513.0176,252.37198,16.0,792.0,543.0,328.0
17.184566,795.50165,507.872,247.05289,16.0,796.0,543.0,325.0
